glove_red=1,avg_KD,avg_SIG_STR_pct,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,total_time_fought(seconds),total_rounds_fought,Height_cms,Reach_cms,Weight_lbs,age,winner_red=1_blue=0_draw=2
1,0.004081726,0.480817108,111.7829132,237.2816391,117.5402832,816.6355133,52,172.72,177.8,145,37,1
1,0.000488281,0.440244141,57.39355469,156.2675781,83.69140625,895.7265625,35,154.94,152.4,115,31,1
1,0,0.415,36.5,133.5,48.5,587,4,185.42,187.96,145,21,1
1,0.140625,0.326914063,40.05078125,130.2148438,41.10546875,616.171875,20,172.72,180.34,155,32,1
1,1,0.86,19,22,19,255,1,187.96,193.04,205,32,1
1,0,0.39,13,62,30,900,3,170.18,175.26,145,23,1
1,0.250244141,0.454189453,29.9140625,66.16674805,31.37854004,265.9458008,31,175.26,172.72,135,29,1
1,0.50491333,0.545037231,55.71279907,115.1970825,65.48901367,655.9320984,41,190.5,193.04,230,35,0
1,0.753929138,0.43056828,30.5136714,72.37950373,32.68680716,621.6366739,50,190.5,203.2,205,37,0
1,0.00012207,0.510242767,22.76557922,53.7804718,34.02490234,782.7622681,39,177.8,172.72,155,37,0
1,0,0.472675781,26.84765625,80.06347656,41.54785156,335.7685547,21,185.42,195.58,185,32,0
1,0,0.32984375,69.9375,223.828125,77.46875,795.296875,17,172.72,170.18,135,33,0
1,0,0.42,8,19,8,93,1,182.88,180.34,145,28,1
1,1.5,0.535,36,70,38.5,385,4,187.96,187.96,170,28,1
1,,,,,,,0,193.04,200.66,265,31,0
1,0.026855469,0.439089355,36.94433594,102.4179688,53.66320801,1025.15918,39,193.04,193.04,205,32,1
1,0,0.62,28.5,70,46.5,492.5,4,172.72,180.34,145,27,0
1,1,0.46,81,193,98,829,6,177.8,185.42,145,32,0
1,0.65625,0.4975,32.5625,70.21875,36.09375,360.84375,11,167.64,170.18,135,34,0
1,0,0.47875,11.625,49.3125,33.625,211.625,9,167.64,172.72,125,32,1
1,0,0.595,55.5,100.5,61.5,663.5,5,172.72,182.88,125,24,1
