fighter,gloves_color,date,Winner,avg_KD,avg_SIG_STR_pct,avg_TD_pct,avg_SUB_ATT,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_TD_landed,avg_CTRL_time(seconds),total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,Height_cms,Reach_cms,Weight_lbs,age
Jairzinho Rozenstruik,red,2/27/2021,Blue,0.75,0.705,0,0,34.40625,64.625,37.125,0,5.875,468.65625,12,0,4,0,4,5,1,0,0,0,0,5,0,0,Orthodox,193.04,198.12,242,32
Montana De La Rosa,red,2/27/2021,Draw,0.25,0.37125,0.255,0.625,54.25,171.5,75.375,1.5,207.71875,846.71875,15,0,3,0,3,4,2,0,0,0,1,0,3,0,Orthodox,170.18,172.72,125,26
Vince Cachero,red,2/27/2021,Blue,0,0.5,0,0,76,201,121,0,28,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,167.64,172.72,145,31
Alexander Hernandez,red,2/27/2021,Blue,0.53125,0.4490625,0.1625,0,30.65625,77.84375,34.34375,0.875,34.125,368.875,12,0,2,0,2,4,2,0,0,0,2,2,0,0,Orthodox,175.26,182.88,155,28
Pedro Munhoz,red,2/27/2021,Red,0.28125,0.463828125,0.017407227,0.046386719,119.8150635,265.6551514,122.5629883,0.028564453,14.07067871,1070.553833,31,0,0,1,4,8,6,0,0,0,2,3,3,0,Orthodox,167.64,165.1,135,34
Alex Caceres,red,2/27/2021,Red,0.25881958,0.550848465,0.253122292,0.507855892,50.84196448,92.31362724,52.65331125,0.25735569,45.72436929,507.8983235,59,0,0,2,3,12,11,0,0,3,5,0,3,1,Southpaw,177.8,185.42,145,32
Alexis Davis,red,2/27/2021,Red,0,0.487275391,0.21296875,0.213867188,64.578125,196.0029297,116.8417969,0.450195313,228.3916016,886.6328125,29,1,3,0,3,6,5,0,0,2,3,0,1,0,Orthodox,167.64,172.72,135,36
Nikita Krylov,red,2/27/2021,Blue,0.017822266,0.630507813,0.450625,0.576660156,39.92822266,121.9226074,94.38256836,2.21875,440.2099609,779.1535645,23,0,0,1,5,8,5,0,0,0,1,3,4,0,Orthodox,190.5,195.58,205,28
Dustin Jacoby,red,2/27/2021,Red,1,0.405,0,0,23,73,27.5,0,5.5,471,7,0,0,2,1,1,2,0,0,0,0,1,0,0,Orthodox,190.5,193.04,205,32
Aleksei Oleinik,red,2/20/2021,Blue,0.002197266,0.382446289,0.629929199,1.404541016,27.00268555,74.08911133,44.97045898,0.898681641,188.4111328,475.6599121,21,0,2,0,2,8,5,0,0,1,0,1,6,0,Orthodox,187.96,203.2,240,43
Charles Rosa,red,2/20/2021,Blue,0,0.45828125,0.02671875,0.1640625,45.8203125,119.25,48.40625,0.2265625,16.0234375,796.8046875,22,0,0,1,1,4,4,0,0,1,1,0,2,0,Switch,175.26,175.26,145,34
Phil Hawes,red,2/20/2021,Red,1,0.63,0,0,7,11,7,0,1,18,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,182.88,195.58,185,32
Curtis Blaydes,red,2/20/2021,Blue,0.00390625,0.59597168,0.470800781,0,47.40136719,115.9052734,78.00195313,8.229980469,703.9389648,977.7285156,30,0,0,1,4,9,3,0,0,0,4,4,0,1,Orthodox,193.04,203.2,265,30
Eddie Wineland,red,2/20/2021,Blue,0.580810547,0.451943359,0.000284424,0,29.35900879,83.13220215,29.57250977,0.000366211,5.349975586,399.7260742,32,1,0,2,2,6,8,0,0,1,0,5,0,0,Orthodox,170.18,175.26,135,36
Andrei Arlovski,red,2/20/2021,Blue,1.20E-05,0.436994541,0.006077614,2.54E-07,43.0721088,94.62690949,44.00914779,0.023560524,5.102126174,790.8461995,72,5,1,0,7,19,14,0,0,1,7,9,2,0,Orthodox,190.5,195.58,240,42
