fighter,gloves_color,date,Winner,avg_KD,avg_SIG_STR_pct,avg_TD_pct,avg_SUB_ATT,avg_SIG_STR_landed,avg_TOTAL_STR_att,avg_TOTAL_STR_landed,avg_TD_landed,avg_CTRL_time(seconds),total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,Height_cms,Reach_cms,Weight_lbs,age
Anthony Johnson,red,4/2/2008,Red,1,0.43,0.25,1.5,12.5,30.5,14,0.5,72,249,3,0,1,0,1,1,1,0,0,0,0,1,0,0,Orthodox,187.96,198.12,205,24
George Sotiropoulos,red,4/2/2008,Red,0,0.66,0,1,2,28,24,0,72,96,1,0,1,0,1,1,0,0,0,0,0,0,1,0,Orthodox,177.8,180.34,155,30
Josh Koscheck,red,3/1/2008,Red,0.0625,0.224296875,0.546445313,0.23828125,14.2421875,73.80078125,27.11328125,1.77734375,160.8085938,842.7578125,19,0,2,0,5,7,2,0,0,0,3,2,2,0,Orthodox,177.8,185.42,170,30
Luigi Fioravanti,red,3/1/2008,Red,0.1875,0.43625,0.1875,0,30.8125,82.1875,35.375,0.1875,24.375,678.9375,10,0,0,1,2,2,3,0,0,0,0,2,0,0,Orthodox,172.72,177.8,170,27
Jon Fitch,red,3/1/2008,Red,0.046875,0.56890625,0.633125,0.609375,24.5,141.515625,113.0625,2.28125,416.953125,700.046875,17,0,7,0,7,7,0,0,0,1,2,1,3,0,Orthodox,182.88,187.96,170,30
Chris Leben,red,3/1/2008,Red,0.5703125,0.439414063,0.1775,0.50390625,40.73242188,206.2949219,153.0332031,0.40234375,95.96289063,750.9667969,20,0,5,0,5,7,3,0,0,1,1,4,1,0,Southpaw,180.34,185.42,185,27
Heath Herring,red,3/1/2008,Red,1.25,0.295,0.5,0.25,34.25,150.75,72.25,0.5,199.75,900,9,0,0,1,1,1,2,0,0,0,1,0,0,0,Orthodox,193.04,198.12,250,29
Andrei Arlovski,red,3/1/2008,Red,0.610351563,0.408105469,0.000244141,0.266113281,25.55688477,96.24682617,33.15429688,0.000244141,40.05541992,703.4775391,24,5,1,0,6,9,4,0,0,0,1,6,2,0,Orthodox,190.5,195.58,240,29
Anderson Silva,red,3/1/2008,Red,1.9375,0.783125,0.25,0.25,26.125,40.875,34,0.25,41.9375,324.125,7,3,5,0,5,5,0,0,0,0,0,4,1,0,Southpaw,187.96,195.58,185,32
Yushin Okami,red,3/1/2008,Red,0,0.4325,0.7675,1.53125,32.03125,116,71.75,1.6875,394.71875,890.1875,18,0,4,0,4,5,1,0,0,0,3,2,0,0,Southpaw,187.96,190.5,170,26
Diego Sanchez,red,3/1/2008,Red,0.25,0.46328125,0.18921875,2.5859375,14.6796875,63.4140625,25.9375,1.328125,149.5859375,791.1328125,19,1,6,0,6,6,2,0,0,0,3,3,0,0,Southpaw,177.8,182.88,170,26
Jorge Gurgel,red,3/1/2008,Red,0,0.26375,0.0175,0.125,30,150.625,63.625,0.125,278.875,900,12,0,0,1,2,2,2,0,0,1,1,0,0,0,Orthodox,170.18,175.26,155,31
Nate Marquardt,red,2/2/2008,Red,1,0.384375,0.7075,0.5,21.1875,57.125,32.5,1.6875,268.5,529.25,12,1,4,0,4,4,1,0,0,0,3,0,1,0,Orthodox,182.88,187.96,185,28
Ricardo Almeida,red,2/2/2008,Red,0,0.545,0.375,2.75,9.25,28,14,0.75,69.25,487.25,6,0,0,1,1,1,2,0,0,0,0,0,1,0,Orthodox,182.88,187.96,170,31
Antonio Rodrigo Nogueira,red,2/2/2008,Red,0,0.45,0.8,2,55,153,79,4,221,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,190.5,195.58,240,31
Marvin Eastman,red,2/2/2008,Red,0,0.24,0,0,10.25,44.75,15.5,0,15.5,364.5,5,0,0,3,0,0,3,0,0,0,0,0,0,0,Orthodox,175.26,185.42,185,36
Tim Boetsch,red,2/2/2008,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,185,27
Frank Mir,red,2/2/2008,Red,0.015625,0.622773438,0.642109375,0.609375,9.893554688,27.01660156,19.56835938,1.009765625,99.86425781,196.3955078,14,1,2,0,4,8,3,0,0,0,1,1,5,0,Southpaw,190.5,200.66,264,28
Tyson Griffin,red,2/2/2008,Red,0,0.39875,0.6025,1.625,31.75,114.5,72.375,2,289,801.25,10,0,1,0,2,3,1,0,0,1,1,0,1,0,Orthodox,167.64,172.72,145,23
Chris Lytle,red,2/2/2008,Red,0.0078125,0.424453125,0.80140625,1.6796875,26.00585938,123.65625,74.64257813,0.853515625,123.1601563,537.1835938,23,1,0,2,2,3,7,0,0,0,0,0,3,0,Orthodox,180.34,172.72,170,33
Rob Emerson,red,2/2/2008,Red,0,0.27,1,1,3,17,8,1,10,339,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,175.26,177.8,155,26
Patrick Cote,red,1/23/2008,Red,0.5625,0.524375,0.11375,0.5,25.625,53.1875,34.71875,0.3125,133.59375,492.71875,14,1,0,4,2,2,4,0,0,0,1,1,0,0,Orthodox,180.34,190.5,170,27
Nate Diaz,red,1/23/2008,Red,0.5,0.65,0.165,2,6,44,40.5,0.5,59,285,3,1,2,0,2,2,0,0,0,0,0,0,2,0,Southpaw,182.88,193.04,170,22
Kurt Pellegrino,red,1/23/2008,Red,0,0.4225,0.61875,0.875,18.25,71.375,34,2.5,281.375,595,8,0,0,1,2,2,2,0,0,0,0,0,2,0,Orthodox,172.72,177.8,155,28
Thiago Tavares,red,1/23/2008,Red,0,0.48,0.51,3,11,84.25,68.75,3.5,271.25,792.25,8,0,2,0,2,2,1,0,0,0,1,0,1,0,Orthodox,170.18,177.8,145,23
Gray Maynard,red,1/23/2008,Red,0.5,0.65,0.5,0.5,11.5,27,18,1,133.5,174,3,0,0,1,1,1,1,0,0,0,0,1,0,0,Orthodox,175.26,177.8,155,28
Corey Hill,red,1/23/2008,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,193.04,203.2,155,29
Jeremy Stephens,red,1/23/2008,Red,0,0.375,0.5,0,28.5,101,64,1,328.5,682,5,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,175.26,180.34,145,21
Mike Swick,red,1/23/2008,Red,0.0625,0.3515625,0.105,0.1875,23.875,95.46875,41.75,0.75,86.15625,701.75,10,0,5,0,5,5,1,0,0,0,1,2,2,0,Orthodox,185.42,195.58,170,28
Matt Wiman,red,1/23/2008,Red,0,0.5575,0.5875,1,37.25,103.25,68,2.5,420,583,6,0,0,1,2,2,1,0,0,0,1,1,0,0,Orthodox,177.8,172.72,155,24
Marcus Davis,red,1/19/2008,Red,0.3125,0.555,0.32125,0.78125,19.5,44.53125,28.96875,0.9375,134.15625,285.78125,10,0,0,1,5,5,1,0,0,0,1,1,3,0,Southpaw,177.8,177.8,170,34
BJ Penn,red,1/19/2008,Red,0.002929688,0.624345703,0.665664063,2.1953125,24.56445313,81.92871094,62.95019531,1.828125,213.0722656,655.3837891,27,4,3,0,3,7,4,0,0,0,1,4,2,0,Orthodox,175.26,177.8,155,29
Alessio Sakara,red,1/19/2008,Red,0.03125,0.286875,0.28125,0,9.6875,26.375,12.875,0.78125,43.9375,133.9375,9,0,0,1,1,2,4,0,0,0,1,1,0,0,Orthodox,182.88,182.88,185,26
Antoni Hardonk,red,1/19/2008,Red,0.25,0.5575,0,0.25,9.5,21.25,16.75,0,1,312.25,5,0,1,0,1,1,2,0,0,0,0,1,0,0,Orthodox,193.04,198.12,245,31
Fabricio Werdum,red,1/19/2008,Red,0,0.29,0,0,23,83,26,0,50,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,193.04,195.58,231,30
Paul Kelly,red,1/19/2008,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,155,23
Jorge Rivera,red,1/19/2008,Red,0.265625,0.5178125,0.0078125,0,12.28125,31.1875,19.25,0.015625,42.734375,158.328125,13,0,1,0,1,3,4,0,0,0,2,1,0,0,Orthodox,185.42,185.42,185,35
Wilson Gouveia,red,1/19/2008,Red,0.5,0.505,0.4375,0.875,20.375,53.75,32,0.5,80.5,315.625,7,0,0,1,3,3,1,0,0,0,0,0,3,0,Orthodox,185.42,193.04,185,29
Sam Stout,red,1/19/2008,Red,0,0.2125,0,0,53.5,194.75,58,0,20,701.5,7,0,1,0,1,1,2,0,0,1,0,0,0,0,Orthodox,175.26,177.8,155,23
Manvel Gamburyan,red,12/29/2007,Red,0,0.47,0.25,1,16,46,28,1,255,320,2,1,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,165.1,170.18,135,26
Lyoto Machida,red,12/29/2007,Red,0.5,0.7175,0.58,0.75,67.25,134.5,108,2,430,900,9,0,3,0,3,3,0,0,0,0,3,0,0,0,Southpaw,185.42,187.96,185,29
Chuck Liddell,red,12/29/2007,Red,0.3309021,0.312584991,0.003910065,0,25.59547424,96.21538925,26.20618057,0.003913879,12.44758606,621.6798782,38,7,1,0,7,15,4,0,0,0,5,9,0,1,Orthodox,187.96,193.04,205,38
Georges St-Pierre,red,12/29/2007,Red,0.25390625,0.499511719,0.727246094,2.5625,32.67578125,109.9980469,79.38085938,1.5390625,327.9726563,634.453125,20,3,2,0,5,8,2,0,0,1,3,3,1,0,Orthodox,180.34,193.04,185,26
Dean Lister,red,12/29/2007,Red,0,0.4475,0.0725,1,15.25,51,29.25,1.25,87,710,7,0,2,0,2,2,1,0,0,0,1,0,1,0,Orthodox,185.42,190.5,185,31
Rich Clementi,red,12/29/2007,Red,0,0.42625,0.421875,1.125,14.4375,66.75,44.875,0.8125,102.5625,625.25,12,0,0,2,1,2,3,0,0,0,0,0,2,0,Southpaw,175.26,182.88,155,31
James Irvin,red,12/29/2007,Red,0.3125,0.688125,0,0.5,6.9375,13.375,8.25,0,10.625,207.25,7,0,0,1,1,2,3,0,0,0,0,2,0,0,Orthodox,187.96,190.5,205,29
Eddie Sanchez,red,12/29/2007,Red,0.25,0.4075,0.25,0,24.25,68.75,41,0.5,86.75,313.5,5,0,1,0,1,2,1,0,0,0,0,2,0,0,Orthodox,187.96,187.96,230,25
Roan Carneiro,red,12/29/2007,Red,0,0.505,0.685,2.5,13,44,32,4.5,463.5,633.5,5,0,1,0,1,1,1,0,0,0,1,0,0,0,Orthodox,180.34,193.04,170,29
Mark Bocek,red,12/29/2007,Red,0,0.15,0,0,6,43,11,0,0,295,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,172.72,190.5,155,26
Roman Mitichyan,red,12/8/2007,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,,170,29
War Machine,red,12/8/2007,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,,170,26
Troy Mandaloniz,red,12/8/2007,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,,170,27
Matt Arroyo,red,12/8/2007,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,25
Ben Saunders,red,12/8/2007,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,195.58,170,24
Mac Danzig,red,12/8/2007,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,155,27
Roger Huerta,red,12/8/2007,Red,0,0.42875,0.21,0,37.375,154.3125,90.9375,1.1875,359.125,652.4375,12,0,5,0,5,5,0,0,0,0,2,3,0,0,Orthodox,175.26,177.8,155,24
George Sotiropoulos,red,12/8/2007,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,155,30
Jonathan Goulet,red,12/8/2007,Red,0,0.210625,0.5825,0.0625,3.375,17.75,12.3125,1.25,113.0625,253.9375,9,0,1,0,1,2,3,0,1,0,0,0,0,1,Orthodox,182.88,185.42,170,28
Ed Herman,red,11/17/2007,Red,0,0.60875,0.55,1.5,17.625,56.875,38.875,2.5,315.125,399.875,7,1,0,2,2,2,2,0,0,0,0,0,2,0,Orthodox,185.42,195.58,205,27
Frankie Edgar,red,11/17/2007,Red,0,0.56,0.265,0,43,108.5,72.5,4,220.5,597.5,4,0,2,0,2,2,0,0,0,0,1,1,0,0,Orthodox,167.64,172.72,135,26
Thiago Silva,red,11/17/2007,Red,0.5,0.725,0.25,0.5,24.5,55.5,27,0.5,30.5,314.5,3,0,2,0,2,2,0,0,0,0,0,2,0,0,Orthodox,187.96,187.96,205,25
Marcus Aurelio,red,11/17/2007,Red,0,0.29,0,0,40,142,47,0,0,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,187.96,155,34
Joe Lauzon,red,11/17/2007,Red,0.5,0.585,0.875,3,6.5,23,18,2,137.5,238.5,3,0,2,0,2,2,0,0,0,0,0,1,1,0,Orthodox,177.8,180.34,155,23
Thiago Alves,red,11/17/2007,Red,0.53125,0.52421875,0.09375,0.4375,39.203125,90.796875,47.921875,0.125,71.578125,529.875,13,0,0,1,3,5,2,0,0,0,1,4,0,0,Orthodox,175.26,177.8,170,24
Rashad Evans,red,11/17/2007,Red,0.3125,0.3609375,0.2965625,0,19.15625,76.8125,41.09375,2.71875,179.90625,709.25,16,1,5,0,5,5,1,0,1,2,0,2,0,0,Orthodox,182.88,190.5,205,28
Karo Parisyan,red,11/17/2007,Red,0,0.417226563,0.525898438,0.11328125,49.09375,142.8945313,70.7734375,3.44140625,192.1484375,858.890625,23,0,1,0,4,7,2,0,0,1,4,1,1,0,Orthodox,177.8,182.88,170,25
Akihiro Gono,red,11/17/2007,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,170.18,172.72,170,33
Tim Sylvia,red,10/20/2007,Red,0.081054688,0.282441406,0.00390625,0.25,41.01757813,164.8398438,62.67773438,0.00390625,120.7470703,1356.847656,26,8,3,0,5,8,3,0,0,0,3,5,0,0,Orthodox,203.2,203.2,265,31
Yushin Okami,red,10/20/2007,Red,0,0.365,0.535,2.0625,23.0625,109,65.5,2.375,257.4375,880.375,15,0,4,0,4,4,1,0,0,0,2,2,0,0,Southpaw,187.96,190.5,170,26
Joshua Burkman,red,10/20/2007,Red,0.125,0.3559375,0.390625,0.09375,20.71875,88.28125,36.375,3.84375,324.4375,827.5625,13,0,2,0,2,4,2,0,0,0,2,1,1,0,Orthodox,177.8,182.88,170,27
Alvin Robinson,red,10/20/2007,Red,0,0.37,1,0,6,27,15,1,75,270,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,175.26,172.72,155,25
Anderson Silva,red,10/20/2007,Red,0.875,0.74625,0.5,0.5,13.25,32.75,28,0.5,31.875,281.25,5,2,4,0,4,4,0,0,0,0,0,3,1,0,Southpaw,187.96,195.58,185,32
Demian Maia,red,10/20/2007,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,185.42,182.88,170,29
Stephan Bonnar,red,10/20/2007,Red,0.0625,0.35140625,0.0371875,1.390625,16.4375,65.578125,25.078125,0.171875,64.71875,497.3125,17,1,0,1,3,4,3,0,0,0,2,0,2,0,Orthodox,193.04,200.66,205,30
Alan Belcher,red,10/20/2007,Red,0.125,0.2175,0.0975,0.75,6.625,28.25,13.625,0.375,77.875,380.125,9,0,0,1,1,2,2,0,0,0,0,1,1,0,Orthodox,187.96,190.5,185,23
Matt Grice,red,10/20/2007,Red,0,0.68,1,0,26,60,45,1,227,288,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,172.72,177.8,145,26
Rich Clementi,red,9/22/2007,Red,0,0.3525,0.34375,0.25,16.875,76.5,46.75,0.625,43.125,765.5,10,0,0,2,1,1,3,0,0,0,0,0,1,0,Southpaw,175.26,182.88,155,31
Jeremy Stephens,red,9/22/2007,Red,0,0.2,0,0,7,48,19,0,66,464,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,175.26,180.34,145,21
Jon Fitch,red,9/22/2007,Red,0.09375,0.5178125,0.26625,1.21875,24,105.03125,82.125,1.5625,253.90625,500.09375,14,0,6,0,6,6,0,0,0,0,2,1,3,0,Orthodox,182.88,187.96,170,29
Forrest Griffin,red,9/22/2007,Red,0.03125,0.4015625,0.0190625,0.03125,77.109375,182.953125,80.625,0.046875,12.03125,711.78125,15,1,3,0,3,5,2,0,0,0,3,1,1,0,Orthodox,190.5,195.58,205,28
Lyoto Machida,red,9/22/2007,Red,1,0.655,0.5,0.5,64.5,116,82,2,312,900,6,0,2,0,2,2,0,0,0,0,2,0,0,0,Southpaw,185.42,187.96,185,29
Christian Wellisch,red,9/22/2007,Red,0.5,0.145,0.625,0.5,30.5,130.5,52.5,1,111,535.5,4,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,187.96,195.58,234,32
Keith Jardine,red,9/22/2007,Red,0.03125,0.5478125,0.125,0,26.53125,64.625,30.59375,0.125,8.625,307,13,0,2,0,2,4,2,0,0,0,2,2,0,0,Orthodox,187.96,193.04,185,31
Tyson Griffin,red,9/22/2007,Red,0,0.3675,0.875,2.25,34.5,95,55.75,2,103,702.5,7,0,1,0,1,2,1,0,0,1,0,0,1,0,Orthodox,167.64,172.72,145,23
Matt Wiman,red,9/22/2007,Red,0,0.575,0.375,2,15.5,39.5,27,1,154,266,3,0,0,1,1,1,1,0,0,0,0,1,0,0,Orthodox,177.8,172.72,155,24
Kenny Florian,red,9/19/2007,Red,0,0.58203125,0.600625,0.875,23.625,84.421875,63.328125,1.921875,199.15625,558.921875,15,2,0,1,3,5,2,0,0,0,0,1,3,1,Southpaw,177.8,187.96,145,31
Chris Leben,red,9/19/2007,Red,0.140625,0.358828125,0.355,0.0078125,28.46484375,156.5898438,98.06640625,0.8046875,104.9257813,665.9335938,17,0,5,0,5,6,3,0,0,1,1,3,1,0,Southpaw,180.34,185.42,185,27
Gray Maynard,red,9/19/2007,Red,0,0.55,1,1,20,50,33,2,265,339,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,175.26,177.8,155,28
Thiago Alves,red,9/19/2007,Red,1.0625,0.5584375,0.1875,0.875,30.40625,80.59375,45.84375,0.25,89.15625,515.75,11,0,0,1,2,4,2,0,0,0,1,3,0,0,Orthodox,175.26,177.8,170,23
Cole Miller,red,9/19/2007,Red,1,0.37,0,0,12,34,14,0,15,70,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,185.42,185.42,145,23
Luke Cummo,red,9/19/2007,Red,1,0.475,0.21875,1.25,30.125,89,49.375,0.5,89.125,682.5,11,1,0,1,1,2,2,0,0,0,1,1,0,0,Orthodox,182.88,187.96,170,27
Nate Quarry,red,9/19/2007,Red,0.5,0.325,0,0,9.625,29.375,13,0,4.75,131.75,4,1,3,0,3,3,1,0,0,0,0,3,0,0,Open Stance,182.88,182.88,185,35
Nate Diaz,red,9/19/2007,Red,0,0.4,0,1,2,60,56,0,25,320,2,1,1,0,1,1,0,0,0,0,0,0,1,0,Southpaw,182.88,193.04,170,22
Dustin Hazelett,red,9/19/2007,Red,0,0.455,0.25,1,21.25,54.75,31,0.25,72,369.75,5,0,0,1,2,2,1,0,0,0,1,0,1,0,Orthodox,185.42,193.04,170,21
Houston Alexander,red,9/8/2007,Red,2,0.85,0,0,17,20,17,0,20,48,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,182.88,182.88,205,35
Thiago Silva,red,9/8/2007,Red,0,1,0.5,0,1,1,1,1,36,66,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,187.96,187.96,205,24
Cheick Kongo,red,9/8/2007,Red,0.125,0.5875,0.125,1,41.625,106.125,73.5,0.125,143.25,728,8,0,2,0,2,3,1,0,1,0,0,1,0,1,Orthodox,193.04,208.28,240,32
Michael Bisping,red,9/8/2007,Red,0.5,0.54,0.7,1,33,98.75,63.75,1.5,235,404.5,5,1,3,0,3,3,0,0,0,0,0,3,0,0,Orthodox,185.42,190.5,185,28
Dennis Siver,red,9/8/2007,Red,0,0.66,1,0,2,5,4,1,0,81,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,167.64,177.8,145,28
Gleison Tibau,red,9/8/2007,Red,0,0.4075,0.2075,1,10.5,50.5,31.75,1.25,269.5,392.75,6,0,0,1,2,2,1,0,0,0,1,0,1,0,Southpaw,177.8,180.34,155,23
Marcus Davis,red,9/8/2007,Red,0.625,0.51,0.3125,0.5625,15,41.0625,25.9375,0.875,117.3125,317.5625,9,0,0,1,4,4,1,0,0,0,1,1,2,0,Southpaw,177.8,177.8,170,34
Jess Liaudin,red,9/8/2007,Red,0,0.2,0,1,1,5,1,0,43,81,1,0,1,0,1,1,0,0,0,0,0,0,1,0,Orthodox,175.26,182.88,170,
Quinton Jackson,red,9/8/2007,Red,1,0.675,0,0,25.5,46,30.5,0,32.5,321,3,1,2,0,2,2,0,0,0,0,0,2,0,0,Orthodox,185.42,185.42,205,29
Roger Huerta,red,8/25/2007,Red,0,0.4575,0.42,0,48.75,160.625,84.875,2.375,326.25,594.875,9,0,4,0,4,4,0,0,0,0,2,2,0,0,Orthodox,175.26,177.8,155,24
Renato Sobral,red,8/25/2007,Red,0,0.304804688,0.5728125,0.90234375,5.55078125,29.74609375,16.8671875,0.859375,155.75,350.046875,18,1,1,0,3,5,4,0,1,0,1,0,3,0,Orthodox,185.42,190.5,205,31
Patrick Cote,red,8/25/2007,Red,0.125,0.40875,0.2275,0,31.25,62.375,37.4375,0.625,106.1875,700.4375,13,1,0,4,1,1,4,0,0,0,1,0,0,0,Orthodox,180.34,190.5,170,27
Randy Couture,red,8/25/2007,Red,0.5,0.467345276,0.541767578,0.379135132,44.76930237,125.0153351,82.43341064,4.403930664,581.9429932,984.1716461,47,14,7,0,7,12,5,0,1,0,3,5,2,1,Orthodox,185.42,190.5,205,44
Frank Mir,red,8/25/2007,Red,0.03125,0.445546875,0.28421875,0.21875,15.78710938,46.03320313,32.13671875,1.01953125,136.7285156,315.7910156,13,1,2,0,4,7,3,0,0,0,1,1,4,0,Southpaw,190.5,200.66,264,28
Georges St-Pierre,red,8/25/2007,Red,0.5078125,0.379023438,0.454492188,0.125,27.3515625,74.99609375,40.76171875,1.078125,97.9453125,368.90625,17,3,2,0,5,7,2,0,0,1,2,3,1,0,Orthodox,180.34,193.04,185,26
Joe Stevenson,red,8/25/2007,Red,0,0.713125,0.659375,1.6875,7.9375,27.75,19.625,1.3125,94.6875,232.75,10,1,1,0,3,4,1,0,0,0,1,0,2,1,Orthodox,170.18,177.8,145,25
Clay Guida,red,8/25/2007,Red,0,0.4775,0.3425,1.5,32.75,130.75,87.5,3.75,451.75,820.5,8,0,1,0,1,1,2,0,0,0,0,0,1,0,Orthodox,170.18,177.8,155,25
Thales Leites,red,8/25/2007,Red,0.25,0.53,0.4425,1.5,28.5,100.75,58.5,2,275.75,565,7,0,0,1,2,2,1,0,0,0,1,0,1,0,Orthodox,185.42,198.12,185,25
Anderson Silva,red,7/7/2007,Red,0.75,0.8325,0,1,16.5,30.5,26,0,20.75,272.5,4,1,3,0,3,3,0,0,0,0,0,2,1,0,Southpaw,187.96,195.58,185,32
Rashad Evans,red,7/7/2007,Draw,0.625,0.431875,0.373125,0,19.3125,53.625,29.1875,3.4375,206.8125,518.5,13,1,5,0,5,5,0,0,1,2,0,2,0,0,Orthodox,182.88,190.5,205,27
Kenny Florian,red,7/7/2007,Red,0,0.5440625,0.60125,1.75,27.25,101.84375,75.65625,0.84375,256.3125,847.84375,14,2,0,1,3,4,2,0,0,0,0,0,3,1,Southpaw,177.8,187.96,145,31
Antonio Rodrigo Nogueira,red,7/7/2007,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,240,31
Chris Lytle,red,7/7/2007,Red,0.03125,0.4378125,0.205625,1.71875,15.0234375,97.625,83.5703125,0.4140625,77.640625,813.734375,20,1,0,2,2,2,6,0,0,0,0,0,2,0,Orthodox,180.34,172.72,170,32
Sean Sherk,red,7/7/2007,Red,0,0.46859375,0.3940625,0.5625,44.140625,183.390625,119.609375,4.890625,698.390625,1159.109375,21,2,3,0,3,5,2,0,0,0,3,0,1,1,Orthodox,167.64,170.18,155,33
Jorge Gurgel,red,7/7/2007,Red,0,0.265,0.07,0.5,47,209.5,68.5,0.5,61.5,900,6,0,0,1,1,1,1,0,0,1,0,0,0,0,Orthodox,170.18,175.26,155,30
Stephan Bonnar,red,7/7/2007,Red,0.125,0.3028125,0.074375,0.78125,30.875,126.15625,48.15625,0.34375,64.4375,860.625,16,1,0,1,3,3,3,0,0,0,2,0,1,0,Orthodox,193.04,200.66,205,30
Frankie Edgar,red,7/7/2007,Red,0,0.55,0.53,0,55,141,92,8,302,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,167.64,172.72,135,25
Roger Huerta,red,6/23/2007,Red,0,0.485,0.84,0,63.5,214.25,109.75,4.75,469.5,679.75,7,0,3,0,3,3,0,0,0,0,2,1,0,0,Orthodox,175.26,177.8,155,24
Leonard Garcia,red,6/23/2007,Red,0,0.32,0,2,29,134,58,0,65,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,172.72,145,27
Gray Maynard,red,6/23/2007,Draw,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,155,28
Thales Leites,red,6/23/2007,Red,0.5,0.46,0.225,2,51,166.5,89,2,402.5,900,6,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,185.42,198.12,185,25
Nate Diaz,red,6/23/2007,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,182.88,193.04,170,22
BJ Penn,red,6/23/2007,Red,0.005859375,0.508691406,0.331328125,1.390625,26.12890625,93.85742188,65.90039063,0.65625,130.1445313,818.7675781,25,4,3,0,3,6,4,0,0,0,1,4,1,0,Orthodox,175.26,177.8,155,28
Matt Wiman,red,6/23/2007,Red,0,0.52,0.25,4,10,42,29,1,204,403,2,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,172.72,155,23
Cole Miller,red,6/23/2007,Red,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,145,23
Joe Lauzon,red,6/23/2007,Red,1,0.81,1,0,9,11,9,1,0,48,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,177.8,180.34,155,23
Marcus Davis,red,6/16/2007,Red,0.25,0.38,0.625,1.125,21,68.125,42.875,1.75,231.625,560.125,8,0,0,1,3,3,1,0,0,0,1,0,2,0,Southpaw,177.8,177.8,170,33
Ed Herman,red,6/16/2007,Red,0,0.6675,0.5,1,11.25,35.75,24.75,2,247.25,354.75,5,1,0,2,1,1,2,0,0,0,0,0,1,0,Orthodox,185.42,195.58,205,26
Eddie Sanchez,red,6/16/2007,Red,0.5,0.205,0,0,7.5,43.5,14,0,30.5,295,3,0,1,0,1,1,1,0,0,0,0,1,0,0,Orthodox,187.96,187.96,230,24
Tyson Griffin,red,6/16/2007,Red,0,0.165,0.75,2.5,19,65,24.5,2,97,505,4,0,1,0,1,1,1,0,0,0,0,0,1,0,Orthodox,167.64,172.72,145,23
