glove_red=1,avg_KD,avg_SIG_STR_landed,total_time_fought(seconds),total_rounds_fought,Weight_lbs,age,categoria_tamano,golpes_pct
1,0.000244141,18.96704102,765.4797363,30,170,33,0.973333333,1.589201878
1,0,25,579,4,145,29,0.945205479,1.251758087
1,0.5,32.25,353.75,6,125,25,0.944444444,1.086642391
1,1,76,720,5,145,28,1,1.271988085
1,0.5,19,635.5,6,185,33,0.894736842,1.404981297
1,0,71.5,735,7,125,24,1.03030303,1.089700572
1,2,26,197,1,185,28,0.986111111,0.957995578
1,0,61,900,6,245,26,0.96,1.071428571
1,0.510437012,52.77694702,694.5741882,48,170,36,0.986666667,1.156444287
1,0.25,27.5,521.75,7,170,30,0.96,1.686507937
1,1.25,38.75,422.75,7,185,26,0.921052632,1.09061376
1,1.462890625,66.22949219,858.296875,25,170,34,0.98630137,0.982236727
1,0.011796713,125.1964347,1470.871367,70,145,29,1.028985507,1.050789313
1,0,38.0859375,792.859375,21,135,32,1,1.278847885
1,0,3,498,2,145,25,0.958333333,1.333333333
1,0.125,30.5234375,546.328125,17,135,32,0.985074627,1.063217785
1,0.015625,67.65625,900,21,135,35,0.955223881,1.119524454
1,0,76,816.5,9,185,31,0.942857143,1.026439035
1,0.57232666,92.29534912,927.1433716,43,170,37,0.96,1.075926013
1,0.032318115,64.41183472,1098.30365,56,135,34,0.957142857,1.048984631
1,0.093772888,49.95155716,737.9572067,48,155,33,0.972222222,1.121663754
1,0.000488281,61.22998047,835.7543945,34,249,35,0.961538462,1.135318003
1,0.375,62,762.625,10,170,27,1,1.037270755
1,0,37.5390625,751.3671875,15,125,25,1.031746032,1.204649999
1,0,61.46875,854.640625,16,155,30,0.985915493,1.186412804
1,0.0625,10.796875,148.2734375,19,155,31,0.986111111,1.390568589
1,0.3125,37.15625,430.0351563,22,185,28,0.925925926,0.997339931
1,0.0625,13.5625,328.9375,9,115,27,1.015873016,0.835468419
1,0.004165649,119.7433167,1049.581268,40,155,36,0.934210526,0.997926109
1,0.677734375,17.60546875,245.171875,20,125,32,0.955882353,1.057234375
1,0.095336437,19.51771116,438.197042,56,238,36,0.987012987,1.014306841
1,0,62.5,775.75,12,145,34,1,1.011604642
1,0.004081726,111.7829132,816.6355133,52,145,37,0.971428571,1.030250152
1,0.000488281,57.39355469,895.7265625,35,115,31,1.016666667,1.216517607
1,0,36.5,587,4,145,21,0.986486486,0.875411759
1,0.140625,40.05078125,616.171875,20,155,32,0.957746479,0.965618344
1,1,19,255,1,205,32,0.973684211,1.00422833
1,0,13,900,3,145,23,0.971014493,1.240694789
1,0.250244141,29.9140625,265.9458008,31,135,29,1.014705882,1.044133182
1,0.50491333,55.71279907,655.9320984,41,230,35,0.986842105,1.043039606
1,0.753929138,30.5136714,621.6366739,50,205,37,0.9375,1.048853587
1,0.00012207,22.76557922,782.7622681,39,155,37,1.029411765,1.239925017
1,0,26.84765625,335.7685547,21,185,32,0.948051948,1.097869643
1,0,69.9375,795.296875,17,135,33,1.014925373,1.049309567
1,0,8,93,1,145,28,1.014084507,1.002506266
1,1.5,36,385,4,170,28,1,1.028037383
1,0.026855469,36.94433594,1025.15918,39,205,32,1,1.193294295
1,0,28.5,492.5,4,145,27,0.957746479,1.071428571
1,1,81,829,6,145,32,0.95890411,1.103852219
1,0.65625,32.5625,360.84375,11,135,34,0.985074627,1.0332034
1,0,11.625,211.625,9,125,32,0.970588235,1.424283639
1,0,55.5,663.5,5,125,24,0.944444444,1.02847109
1,0.140625,48.578125,907.3046875,23,125,26,0.957142857,1.300219032
1,0.5,34.5,527.5,5,185,26,0.921052632,1.028806584
1,0.000976563,39.03613281,567.875,31,125,31,1.014705882,1.46384986
1,0,32.75,770,11,125,36,1.014925373,1.1265431
1,0.125,41.71484375,895.9140625,35,125,32,0.984848485,1.137005787
1,1.35546875,30.2109375,373.34375,19,125,32,0.955882353,1.011938479
1,0.223796844,41.48727512,804.7851725,54,205,38,0.960526316,1.213541417
1,0.504882813,56.14526367,676.0151367,30,170,29,0.985915493,1.143731045
1,0.588378906,37.16601563,645.512207,24,170,38,0.98630137,1.001019411
1,1.75,63.5,426.25,6,170,33,0.986486486,1.053286336
1,0,34,900,3,185,27,0.986842105,1.248981808
1,0.03125,41.46875,900,21,115,33,0.971014493,1.435996451
1,0,31,746,3,115,21,0.984126984,1.146055437
1,0,23.4944458,541.8193359,39,115,35,1.015873016,1.037856383
1,0.5,28,651.25,6,185,24,0.986666667,1.18848956
1,0,44.5,900,6,135,29,0.930555556,1.097935881
1,0.26953125,31.5078125,364.578125,23,170,30,0.986111111,1.198134236
1,0.53125,42.28125,535.21875,10,170,35,0.95890411,0.973992577
1,0.02355957,81.18774414,1173.040161,38,155,36,1.014285714,1.075011481
1,0,29.5,655.5,5,260,28,0.962962963,1.015228426
1,0.520801544,49.08913803,1044.601334,37,205,36,0.973684211,0.986546575
1,0.0000241,52.1442176,681.692399,69,240,41,0.974025974,1.08547631
1,0,55,562,2,262,29,0.986666667,1.013513514
1,0.00390625,62.01074219,891.140625,33,115,31,1.015873016,1.117430393
1,0.007827759,82.9070015,878.4863343,57,145,36,0.985915493,1.193027058
1,0.75,59.875,900,12,145,32,0.972972973,1.033187862
1,0.375,50.375,752.375,10,135,33,1,1.128150134
1,0.0625,48.3125,808.6875,14,185,28,0.972972973,1.09032511
1,0,14,900,3,135,31,0.970149254,1.982200647
1,0.09375,46.2265625,896.0625,25,170,34,0.934210526,1.217610081
1,0,91.875,627.625,10,155,34,1,1.079816659
1,0.125,40.53125,618.8125,11,258,34,0.9875,1.117697917
1,5.23E-01,51.890625,523.2285156,25,185,29,0.960526316,1.06898502
1,0.25012207,78.75073242,898.4940186,38,155,34,0.985915493,1.098506942
1,0.625,63.3125,701.0703125,21,185,27,0.925925926,1.183625707
1,0.817016602,36.53204346,728.2456055,32,185,36,0.911392405,1.062390315
